solvent,salt,mol fraction salt,"Temperature, K","Specific density, kg/m<SUP>3</SUP>","Pressure, kPa",Mole fraction of water,Mole fraction of 1-ethyl-3-methylimidazolium tetrafluoroborate,Mole fraction of 1-ethyl-3-methylimidazolium ethyl sulfate,Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,Mole fraction of 1-butyl-3-methylimidazolium methyl sulfate,Mole fraction of 1-butyl-3-methylimidazolium methanesulfonate,Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,Mole fraction of 1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,"Molar volume, m<SUP>3</SUP>/mol"
methanol,1-butyl-3-methylimidazolium tetrafluoroborate,0.0087,298.15,804.76,380.0,,,,0.0087,,,,,
methanol,1-butyl-3-methylimidazolium tetrafluoroborate,0.0087,298.15,808.51,4380.0,,,,0.0087,,,,,
methanol,1-butyl-3-methylimidazolium tetrafluoroborate,0.0087,298.15,814.38,10910.0,,,,0.0087,,,,,
methanol,1-butyl-3-methylimidazolium tetrafluoroborate,0.0087,298.15,818.18,15330.0,,,,0.0087,,,,,
methanol,1-butyl-3-methylimidazolium tetrafluoroborate,0.0087,298.15,821.99,19940.0,,,,0.0087,,,,,
methanol,1-butyl-3-methylimidazolium tetrafluoroborate,0.0087,298.15,826.59,25770.0,,,,0.0087,,,,,
methanol,1-butyl-3-methylimidazolium tetrafluoroborate,0.0087,298.15,830.16,30520.0,,,,0.0087,,,,,
methanol,1-butyl-3-methylimidazolium tetrafluoroborate,0.0087,298.15,833.9,35740.0,,,,0.0087,,,,,
methanol,1-butyl-3-methylimidazolium tetrafluoroborate,0.0087,298.15,836.72,39880.0,,,,0.0087,,,,,
methanol,1-butyl-3-methylimidazolium tetrafluoroborate,0.0087,323.15,781.0,240.0,,,,0.0087,,,,,
methanol,1-butyl-3-methylimidazolium tetrafluoroborate,0.0087,323.15,786.6,5440.0,,,,0.0087,,,,,
methanol,1-butyl-3-methylimidazolium tetrafluoroborate,0.0087,323.15,792.32,11020.0,,,,0.0087,,,,,
methanol,1-butyl-3-methylimidazolium tetrafluoroborate,0.0087,323.15,796.64,15440.0,,,,0.0087,,,,,
methanol,1-butyl-3-methylimidazolium tetrafluoroborate,0.0087,323.15,801.47,20640.0,,,,0.0087,,,,,
methanol,1-butyl-3-methylimidazolium tetrafluoroborate,0.0087,323.15,805.89,25660.0,,,,0.0087,,,,,
methanol,1-butyl-3-methylimidazolium tetrafluoroborate,0.0087,323.15,809.96,30560.0,,,,0.0087,,,,,
methanol,1-butyl-3-methylimidazolium tetrafluoroborate,0.0087,323.15,813.8,35450.0,,,,0.0087,,,,,
